name,phone,email,location,roof_type,issue,urgency,insurance_status,inspection_timing,message,lead_score,lead_temperature,assigned_contractor,status
Mike Johnson,2145557821,mike.johnson@gmail.com,Dallas TX,Shingle,Roof leak,High,Yes,ASAP,Water leaking into attic after storm,88,HOT,Dallas Roofing Co,New
Sarah Martinez,5125551943,sarah.martinez@gmail.com,Austin TX,Tile,Roof inspection,Medium,No,This week,Buying house need inspection,62,WARM,Austin Roof Pros,Contacted
David Thompson,7135556621,dthompson@yahoo.com,Houston TX,Shingle,Storm damage,High,Yes,ASAP,Shingles blown off after storm,91,HOT,Houston Roofing Group,Inspection Booked
Chris Walker,6025558821,chriswalker@gmail.com,Phoenix AZ,Flat,Roof repair,Medium,No,Next week,Small leak in garage roof,55,WARM,Phoenix Roof Repair,New
Robert Davis,4805552291,rdavis@gmail.com,Mesa AZ,Tile,Roof replacement,Low,No,Next month,Old roof needs replacement quote,48,COLD,Arizona Roofing,New
James Wilson,3035558822,jwilson@gmail.com,Denver CO,Shingle,Hail damage,High,Yes,ASAP,Hail storm damaged roof,86,HOT,Denver Roofing Co,Contacted
Anthony Garcia,7025559912,anthonygarcia@gmail.com,Las Vegas NV,Tile,Roof leak,Medium,No,This week,Leak near chimney,60,WARM,Vegas Roofing,New
Mark Robinson,4695552231,markrob@gmail.com,Dallas TX,Shingle,Roof inspection,Medium,Yes,This week,Insurance inspection needed,72,HOT,Dallas Roofing Co,Inspection Booked
Daniel Young,8325556677,danielyoung@gmail.com,Houston TX,Flat,Roof repair,Medium,No,Next week,Ponding water on flat roof,58,WARM,Houston Roofing Group,New
Kevin King,8175553321,kevinking@gmail.com,Fort Worth TX,Shingle,Roof replacement,Low,No,Next month,Replacing 20 year old roof,45,COLD,Fort Worth Roofing,New
Brian Clark,2145558833,bclark@gmail.com,Dallas TX,Metal,Roof repair,Medium,No,This week,Loose metal panels,63,WARM,Dallas Roofing Co,Contacted
Steven Lewis,5125559911,slewis@gmail.com,Austin TX,Shingle,Storm damage,High,Yes,ASAP,Tree branch hit roof,89,HOT,Austin Roof Pros,Inspection Booked
Paul Hernandez,7135554412,phernandez@gmail.com,Houston TX,Tile,Roof inspection,Low,No,Next month,General inspection,42,COLD,Houston Roofing Group,New
Andrew Scott,6025551234,andrewscott@gmail.com,Phoenix AZ,Flat,Roof leak,High,No,ASAP,Water dripping inside office,84,HOT,Phoenix Roof Repair,Contacted
Ryan Hall,4805558765,ryanhall@gmail.com,Mesa AZ,Tile,Roof repair,Medium,No,This week,Broken tiles after wind,59,WARM,Arizona Roofing,New
