name,phone,email,location,roof_type,issue,urgency
Raul,6787657890,gta00762@gmail.com,33156,Not sure,Leak,Very
Nadia,678898787,nadia.hottie@gmail.com,33156,Flat,Leak,Very
** Marina,** 7656788765,** marina.herrero@gmail.com,** 33156,** Shingles,** Leakage,** Very Urgent
Raul,7898767890,GTA00762@GMAIL.COM,444444,Tile,Leakage,Very,Not filed,ASAP
Gaurav,787689086886,GTA00762@GMAIL.COM,Miami,Metal,Leakage,Very,No,ASAP
Raul,7898767890,gta00762@gmail.com,33156,Metal,Leak,Very,No help needed,ASAP
Raul,6567647575,gta00762@gmail.com,33156,Flat,Leak,Very,No,ASAP
Raul,4567867890,gta00762@gmail.com,33567,Metal,Leak,Very urgent,No claim filed,ASAP
Raul,616764757,gta00762@gmail.com,33156,Not sure (we'll check during inspection),Leakage,Very urgent,Want help checking,ASAP
jhandu,616764757,gta00762@gmail.com,33156,Metal,Leak,Very,Need help checking,This week
Marina,616764757,marina.herrano@gmail.com,33156,Flat,Leak,Very,No claim filed,ASAP
Ralph,616764757,gta00762@gmail.com,33156,Shingles,Leak,Extreme,No,ASAP
Andy,616764757,gta00762@gmail.com,33156,Metal,Leak,Not too urgent,"No, haven't filed a claim",ASAP
Roger Federer,89878985,gta00762@gmail.com,Miami,Metal,Leak,Urgent,Not filed yet,Now
Rolo,616764757,gta00762@gmail.com,33156,Metal,Leakage,Urgent,Not yet filed,ASAP
Kuin,616764757,gta00762@gmail.com,33156,Shingles,Leakage,Emergency,No claim filed,ASAP
Gaurav,616764757,gta00762@gmail.com,33456,Tile,Leak,ASAP,Not filed yet,ASAP
Alaexander the Great,789876890,gta00876@gmail.com,33156,Tile,Leakage,Emergency,Already filed a claim,ASAP
Ralph,616764757,gta00762@gmail.com,33156,Metal,Active roof leak,Emergency,Not filed,ASAP
Rolo,616764757,gta00762@gmail.com,33156,Flat,Active roof leak,Very urgent,Want help with insurance,ASAP
